cancer_loc,sex,race,survival_time,stage,survival_percent
12,2,1,4,3,22.9
12,2,1,5,1,98.9
12,2,1,5,2,67.1
12,2,1,5,3,21.1
12,2,2,0,1,100
12,2,2,0,2,100
12,2,2,0,3,100
12,2,2,1,1,98.8
12,2,2,1,2,93.5
12,2,2,1,3,43.2
12,2,2,2,1,96.2
12,2,2,2,2,83
12,2,2,2,3,30
12,2,2,3,1,90.7
12,2,2,3,2,63.4
12,2,2,3,3,30
12,2,2,4,1,86.1
12,2,2,4,2,59
12,2,2,4,3,30
12,2,2,5,1,86.1
12,2,2,5,2,57.6
12,2,2,5,3,30
13,1,1,0,1,100
13,1,1,0,2,100
13,1,1,0,3,100
13,1,1,1,1,99.6
13,1,1,1,2,98.9
13,1,1,1,3,66.1
13,1,1,2,1,99
13,1,1,2,2,97.3
13,1,1,2,3,53.9
13,1,1,3,1,98.1
13,1,1,3,2,92.6
13,1,1,3,3,47.2
13,1,1,4,1,97.4
13,1,1,4,2,89.8
13,1,1,4,3,30
13,1,1,5,1,97.1
13,1,1,5,2,85.5
13,1,1,5,3,14.4
13,1,2,0,1,100
13,1,2,0,2,100
13,1,2,0,3,100
13,1,2,1,1,95.6
13,1,2,1,2,95.4
13,1,2,1,3,71.7
13,1,2,2,1,92.7
13,1,2,2,2,92.5
13,1,2,2,3,52.3
13,1,2,3,1,91.3
13,1,2,3,2,85.3
13,1,2,3,3,47.6
13,1,2,4,1,89.7
13,1,2,4,2,77.8
13,1,2,4,3,44.7
13,1,2,5,1,83.9
13,1,2,5,2,74.3
13,1,2,5,3,33.6
13,2,1,0,1,100
13,2,1,0,2,100
13,2,1,0,3,100
13,2,1,1,1,100
13,2,1,1,2,98.2
13,2,1,1,3,69.3
13,2,1,2,1,100
13,2,1,2,2,95.2
13,2,1,2,3,54.7
13,2,1,3,1,100
13,2,1,3,2,91.9
13,2,1,3,3,43.2
13,2,1,4,1,99.7
13,2,1,4,2,89
13,2,1,4,3,33.9
13,2,1,5,1,99.4
13,2,1,5,2,86.5
13,2,1,5,3,27.4
13,2,2,0,1,100
13,2,2,0,2,100
13,2,2,0,3,100
13,2,2,1,1,99.5
13,2,2,1,2,96.6
13,2,2,1,3,62.8
13,2,2,2,1,98.5
13,2,2,2,2,90.2
13,2,2,2,3,44.2
13,2,2,3,1,97.2
13,2,2,3,2,84.5
13,2,2,3,3,31.3
13,2,2,4,1,96
13,2,2,4,2,79.7
13,2,2,4,3,22.9
13,2,2,5,1,94.7
13,2,2,5,2,75.6
13,2,2,5,3,18.3
14,1,1,0,1,
14,1,1,0,2,
14,1,1,0,3,
14,1,1,1,1,
14,1,1,1,2,
14,1,1,1,3,
14,1,1,2,1,
14,1,1,2,2,
14,1,1,2,3,
14,1,1,3,1,
14,1,1,3,2,
14,1,1,3,3,
14,1,1,4,1,
14,1,1,4,2,
14,1,1,4,3,
14,1,1,5,1,
14,1,1,5,2,
14,1,1,5,3,
14,1,2,0,1,
14,1,2,0,2,
14,1,2,0,3,
